race_id,implied_prob_avg,n_sources,total_weight,sources,state,state_abbrev,office,district,incumbent_party,incumbent_name,updated_at
2026-GOV-AK,0.1292,110,410642.73,kalshi|polymarket|nyt|predictit,Alaska,AK,GOV,,R,Mike Dunleavy,2026-04-14T13:45:02.378985+00:00
2026-GOV-AL,0.3717,23,138187.83,kalshi|polymarket|nyt|predictit,Alabama,AL,GOV,,R,Kay Ivey,2026-04-14T13:45:02.378985+00:00
2026-GOV-AR,0.4611,6,62292.32,kalshi|polymarket,Arkansas,AR,GOV,,R,Sarah Huckabee Sanders,2026-04-14T13:45:02.378985+00:00
2026-GOV-AZ,0.5046,111,566006.63,kalshi|polymarket|nyt|predictit,Arizona,AZ,GOV,,D,Katie Hobbs,2026-04-14T13:45:02.378985+00:00
2026-GOV-CA,0.0674,683,25826435.42,kalshi|polymarket|nyt|predictit,California,CA,GOV,,D,Gavin Newsom,2026-04-14T13:45:02.378985+00:00
2026-GOV-CO,0.1965,35,184321.7,kalshi|polymarket|nyt|predictit,Colorado,CO,GOV,,D,Jared Polis,2026-04-14T13:45:02.378985+00:00
2026-GOV-CT,0.3526,24,96797.43,kalshi|polymarket|nyt|predictit,Connecticut,CT,GOV,,D,Ned Lamont,2026-04-14T13:45:02.378985+00:00
2026-GOV-DE,0.2056,4,158.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-FL,0.1786,318,3853954.06,kalshi|polymarket|nyt|predictit,Florida,FL,GOV,,R,Ron DeSantis,2026-04-14T13:45:02.378985+00:00
2026-GOV-GA,0.2823,126,585265.47,kalshi|polymarket|nyt|predictit,Georgia,GA,GOV,,R,Brian Kemp,2026-04-14T13:45:02.378985+00:00
2026-GOV-HI,0.489,4,49197.87,kalshi|polymarket,Hawaii,HI,GOV,,D,Josh Green,2026-04-14T13:45:02.378985+00:00
2026-GOV-IA,0.4563,14,266206.29,kalshi|polymarket|predictit,Iowa,IA,GOV,,R,Kim Reynolds,2026-04-14T13:45:02.378985+00:00
2026-GOV-ID,0.3412,9,68227.29,kalshi|polymarket,Idaho,ID,GOV,,R,Brad Little,2026-04-14T13:45:02.378985+00:00
2026-GOV-IL,0.458,6,52791.48,kalshi|polymarket|nyt,Illinois,IL,GOV,,D,JB Pritzker,2026-04-14T13:45:02.378985+00:00
2026-GOV-IN,0.4116,4,1142.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-KS,0.2614,31,129698.93,kalshi|polymarket|nyt|predictit,Kansas,KS,GOV,,D,Laura Kelly,2026-04-14T13:45:02.378985+00:00
2026-GOV-KY,0.4885,4,17488.0,kalshi,Kentucky,KY,GOV,,D,Andy Beshear,2026-04-14T13:45:02.378985+00:00
2026-GOV-LA,0.7449,4,1356.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-MA,0.3726,55,141175.94,kalshi|polymarket|nyt|predictit,Massachusetts,MA,GOV,,D,Maura Healey,2026-04-14T13:45:02.378985+00:00
2026-GOV-MD,0.2501,18,137705.15,kalshi|polymarket|nyt|predictit,Maryland,MD,GOV,,D,Wes Moore,2026-04-14T13:45:02.378985+00:00
2026-GOV-ME,0.2179,99,255833.64,kalshi|polymarket|nyt|predictit,Maine,ME,GOV,,D,Janet Mills,2026-04-14T13:45:02.378985+00:00
2026-GOV-MI,0.3454,213,502121.36,kalshi|polymarket|nyt|predictit,Michigan,MI,GOV,,D,Gretchen Whitmer,2026-04-14T13:45:02.378985+00:00
2026-GOV-MN,0.1877,98,2213531.72,kalshi|polymarket|nyt|predictit,Minnesota,MN,GOV,,D,Tim Walz,2026-04-14T13:45:02.378985+00:00
2026-GOV-MO,0.8752,4,3378.0,kalshi,Missouri,MO,GOV,,R,Mike Kehoe,2026-04-14T13:45:02.378985+00:00
2026-GOV-MS,0.1974,4,1870.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-MT,0.8369,4,2750.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-NC,0.5936,4,1060.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-ND,0.6912,4,8.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-NE,0.3076,13,137111.68,kalshi|polymarket|predictit,Nebraska,NE,GOV,,R,Jim Pillen,2026-04-14T13:45:02.378985+00:00
2026-GOV-NH,0.3543,27,80129.03,kalshi|polymarket|nyt,New Hampshire,NH,GOV,,R,Kelly Ayotte,2026-04-14T13:45:02.378985+00:00
2026-GOV-NJ,0.5,37,0.0,kalshi,New Jersey,NJ,GOV,,D,Phil Murphy,2026-04-14T13:45:02.378985+00:00
2026-GOV-NM,0.2897,37,161794.41,kalshi|polymarket|nyt|predictit,New Mexico,NM,GOV,,D,Michelle Lujan Grisham,2026-04-14T13:45:02.378985+00:00
2026-GOV-NV,0.4767,30,200586.19,kalshi|polymarket|nyt|predictit,Nevada,NV,GOV,,R,Joe Lombardo,2026-04-14T13:45:02.378985+00:00
2026-GOV-NY,0.3632,153,732179.34,kalshi|polymarket|nyt|predictit,New York,NY,GOV,,D,Kathy Hochul,2026-04-14T13:45:02.378985+00:00
2026-GOV-OH,0.4719,89,952936.18,kalshi|polymarket|nyt|predictit,Ohio,OH,GOV,,R,Mike DeWine,2026-04-14T13:45:02.378985+00:00
2026-GOV-OK,0.2907,72,214088.48,kalshi|polymarket|nyt,Oklahoma,OK,GOV,,R,Kevin Stitt,2026-04-14T13:45:02.378985+00:00
2026-GOV-OR,0.2888,28,157546.5,kalshi|polymarket|nyt|predictit,Oregon,OR,GOV,,D,Tina Kotek,2026-04-14T13:45:02.378985+00:00
2026-GOV-PA,0.3873,30,114098.78,kalshi|polymarket|nyt|predictit,Pennsylvania,PA,GOV,,D,Josh Shapiro,2026-04-14T13:45:02.378985+00:00
2026-GOV-RI,0.3754,36,95381.32,kalshi|polymarket|nyt|predictit,Rhode Island,RI,GOV,,D,Dan McKee,2026-04-14T13:45:02.378985+00:00
2026-GOV-SC,0.2946,128,112411.98,kalshi|polymarket|nyt|predictit,South Carolina,SC,GOV,,R,Henry McMaster,2026-04-14T13:45:02.378985+00:00
2026-GOV-SD,0.3803,31,89174.55,kalshi|polymarket|nyt|predictit,South Dakota,SD,GOV,,R,Larry Rhoden,2026-04-14T13:45:02.378985+00:00
2026-GOV-TN,0.3762,50,142819.71,kalshi|polymarket|nyt|predictit,Tennessee,TN,GOV,,R,Bill Lee,2026-04-14T13:45:02.378985+00:00
2026-GOV-TX,0.4425,22,146083.46,kalshi|polymarket|nyt|predictit,Texas,TX,GOV,,R,Greg Abbott,2026-04-14T13:45:02.378985+00:00
2026-GOV-UT,0.4982,4,1876.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-VA,0.4333,15,0.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-VT,0.4002,13,76340.82,kalshi|polymarket|predictit,Vermont,VT,GOV,,R,Phil Scott,2026-04-14T13:45:02.378985+00:00
2026-GOV-WA,0.518,4,17120.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-WI,0.251,139,259791.15,kalshi|polymarket|nyt|predictit,Wisconsin,WI,GOV,,D,Tony Evers,2026-04-14T13:45:02.378985+00:00
2026-GOV-WV,0.4427,4,1326.0,kalshi,,,,,,,2026-04-14T13:45:02.378985+00:00
2026-GOV-WY,0.1741,19,133057.48,kalshi|polymarket,Wyoming,WY,GOV,,R,Mark Gordon,2026-04-14T13:45:02.378985+00:00
2026-H-AK-01,0.4036,12,0.16,nyt,Alaska,AK,H,01,R,Nicholas J. Begich III,2026-04-14T13:45:02.378985+00:00
2026-H-AL-01,0.4988,14,39179.13,polymarket|nyt,Alabama,AL,H,01,R,Barry Moore,2026-04-14T13:45:02.378985+00:00
2026-H-AL-02,0.5254,2,36584.48,polymarket,Alabama,AL,H,02,D,Shomari Figures,2026-04-14T13:45:02.378985+00:00
2026-H-AL-03,0.4368,2,30910.98,polymarket,Alabama,AL,H,03,R,Mike Rogers,2026-04-14T13:45:02.378985+00:00
2026-H-AL-04,0.4359,2,33470.87,polymarket,Alabama,AL,H,04,R,Robert B. Aderholt,2026-04-14T13:45:02.378985+00:00
2026-H-AL-05,0.4849,2,33398.52,polymarket,Alabama,AL,H,05,R,Dale W. Strong,2026-04-14T13:45:02.378985+00:00
2026-H-AL-06,0.4906,2,34235.57,polymarket,Alabama,AL,H,06,R,Gary J. Palmer,2026-04-14T13:45:02.378985+00:00
2026-H-AL-07,0.4613,2,45518.27,polymarket,Alabama,AL,H,07,D,Terri A. Sewell,2026-04-14T13:45:02.378985+00:00
2026-H-AR-01,0.4915,2,37435.82,polymarket,Arkansas,AR,H,01,R,"Eric A. ""Rick"" Crawford",2026-04-14T13:45:02.378985+00:00
2026-H-AR-02,0.4352,2,26872.81,polymarket,Arkansas,AR,H,02,R,J. French Hill,2026-04-14T13:45:02.378985+00:00
2026-H-AR-03,0.5195,2,29683.73,polymarket,Arkansas,AR,H,03,R,Steve Womack,2026-04-14T13:45:02.378985+00:00
2026-H-AR-04,0.4985,2,34988.29,polymarket,Arkansas,AR,H,04,R,Bruce Westerman,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-01,0.5556,17,14328.92,kalshi|polymarket|nyt|predictit,Arizona,AZ,H,01,R,David Schweikert,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-02,0.5444,4,11721.57,kalshi|polymarket,Arizona,AZ,H,02,R,Elijah Crane,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-03,0.5107,2,34404.69,polymarket,Arizona,AZ,H,03,D,Yassamin Ansari,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-04,0.4726,2,25571.11,polymarket,Arizona,AZ,H,04,D,Greg Stanton,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-05,0.4918,36,22492.4,polymarket|nyt,Arizona,AZ,H,05,R,Andy Biggs,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-06,0.5028,10,24636.58,kalshi|polymarket|nyt|predictit,Arizona,AZ,H,06,R,Juan Ciscomani,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-07,0.4629,2,33373.2,polymarket,Arizona,AZ,H,07,D,Adelita S. Grijalva,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-08,0.14,1,12689.88,polymarket,Arizona,AZ,H,08,R,Abraham J. Hamadeh,2026-04-14T13:45:02.378985+00:00
2026-H-AZ-09,0.5168,2,29530.9,polymarket,Arizona,AZ,H,09,R,Paul A. Gosar,2026-04-14T13:45:02.378985+00:00
2026-H-CA-01,0.5346,7,25013.76,polymarket|nyt,California,CA,H,01,R,Doug LaMalfa,2026-04-14T13:45:02.378985+00:00
2026-H-CA-02,0.4767,2,26150.32,polymarket,California,CA,H,02,D,Jared Huffman,2026-04-14T13:45:02.378985+00:00
2026-H-CA-03,0.5641,6,56837.9,kalshi|polymarket|nyt,California,CA,H,03,I,Kevin Kiley,2026-04-14T13:45:02.378985+00:00
2026-H-CA-04,0.4702,2,27187.24,polymarket,California,CA,H,04,D,Mike Thompson,2026-04-14T13:45:02.378985+00:00
2026-H-CA-05,0.465,2,22639.96,polymarket,California,CA,H,05,R,Tom McClintock,2026-04-14T13:45:02.378985+00:00
2026-H-CA-06,0.5482,9,34037.36,polymarket|nyt,California,CA,H,06,D,Ami Bera,2026-04-14T13:45:02.378985+00:00
2026-H-CA-07,0.5148,8,31778.39,polymarket|nyt,California,CA,H,07,D,Doris O. Matsui,2026-04-14T13:45:02.378985+00:00
2026-H-CA-08,0.4743,2,30160.23,polymarket,California,CA,H,08,D,John Garamendi,2026-04-14T13:45:02.378985+00:00
2026-H-CA-09,0.5259,4,36492.45,kalshi|polymarket,California,CA,H,09,D,Josh Harder,2026-04-14T13:45:02.378985+00:00
2026-H-CA-10,0.4234,2,33176.46,polymarket,California,CA,H,10,D,Mark DeSaulnier,2026-04-14T13:45:02.378985+00:00
2026-H-CA-11,0.4809,18,44349.29,polymarket|nyt,California,CA,H,11,D,Nancy Pelosi,2026-04-14T13:45:02.378985+00:00
2026-H-CA-12,0.4847,2,35579.77,polymarket,California,CA,H,12,D,Lateefah Simon,2026-04-14T13:45:02.378985+00:00
