race_id,source,market_title,implied_prob,weight,fetched_at
2026-SEN-AK,kalshi,Will Democratics win the Senate race in Alaska?,0.235,1748.0,2026-04-14T13:28:49.031281+00:00
2026-SEN-AK,kalshi,Will Republicans win the Senate race in Alaska?,0.745,2650.0,2026-04-14T13:28:49.031340+00:00
2026-SEN-AK,kalshi,Will Republicans win the Senate race in Alaska?,0.405,123098.0,2026-04-14T13:28:49.031354+00:00
2026-SEN-AK,kalshi,Will Democratics win the Senate race in Alaska?,0.595,156835.0,2026-04-14T13:28:49.031366+00:00
2026-H-PA-01,kalshi,Will Democratic win the House race for PA-1?,0.48,6086.0,2026-04-14T13:28:49.473460+00:00
2026-H-PA-01,kalshi,Will Republican win the House race for PA-1?,0.52,726.0,2026-04-14T13:28:49.473517+00:00
2026-GOV-MT,kalshi,Will the Republican party win the governorship in Montana,0.87,2626.0,2026-04-14T13:28:50.309923+00:00
2026-GOV-MT,kalshi,Will the Democratic party win the governorship in Montana,0.135,124.0,2026-04-14T13:28:50.309945+00:00
2026-GOV-MT,kalshi,Will the Republican party win the governorship in Montana,0.995,0.0,2026-04-14T13:28:50.309953+00:00
2026-GOV-MT,kalshi,Will the Democratic party win the governorship in Montana,0.005,0.0,2026-04-14T13:28:50.309960+00:00
2026-GOV-IN,kalshi,Will the Republican party win the governorship in Indiana,0.905,442.0,2026-04-14T13:28:50.729566+00:00
2026-GOV-IN,kalshi,Will the Democratic party win the governorship in Indiana,0.1,700.0,2026-04-14T13:28:50.729587+00:00
2026-GOV-IN,kalshi,Will the Republican party win the governorship in Indiana,0.99,0.0,2026-04-14T13:28:50.729595+00:00
2026-GOV-IN,kalshi,Will the Democratic party win the governorship in Indiana,0.005,0.0,2026-04-14T13:28:50.729601+00:00
2026-SEN-CO,kalshi,Will Mark Baisley be the Republican nominee for the Senate in Colorado?,0.95,14293.0,2026-04-14T13:28:51.158023+00:00
2026-SEN-CO,kalshi,Will Janak Joshi be the Republican nominee for the Senate in Colorado?,0.01,262.0,2026-04-14T13:28:51.158056+00:00
2026-SEN-CO,kalshi,Will Heidi Ganahl be the Republican nominee for the Senate in Colorado?,0.005,4.0,2026-04-14T13:28:51.158069+00:00
2026-SEN-CO,kalshi,Will George Washington Markert be the Republican nominee for the Senate in Colorado?,0.015,1354.0,2026-04-14T13:28:51.158079+00:00
2026-SEN-CO,kalshi,Will Dathan Jones be the Republican nominee for the Senate in Colorado?,0.01,596.0,2026-04-14T13:28:51.158090+00:00
2026-SEN-PA,kalshi,Who will win the 2026 Pennsylvania State Senate election?,0.53,558.0,2026-04-14T13:28:52.018031+00:00
2026-SEN-PA,kalshi,Who will win the 2026 Pennsylvania State Senate election?,0.465,54.0,2026-04-14T13:28:52.018118+00:00
2026-SEN-RI,kalshi,Will Republicans win the Senate race in Rhode Island?,0.035,322.0,2026-04-14T13:28:52.449325+00:00
2026-SEN-RI,kalshi,Will Democratics win the Senate race in Rhode Island?,0.94,5158.0,2026-04-14T13:28:52.449361+00:00
2026-GOV-NJ,kalshi,Will Mikie Sherrill win the 2025 New Jersey gubernatorial election?,0.5,0.0,2026-04-14T13:28:52.852944+00:00
2026-GOV-NJ,kalshi,Will Jack Ciattarelli win the 2025 New Jersey gubernatorial election?,0.5,0.0,2026-04-14T13:28:52.852984+00:00
2026-SEN-AZ,kalshi,Will Democratics win the Senate race in Arizona?,0.745,8379.0,2026-04-14T13:28:53.331026+00:00
2026-SEN-AZ,kalshi,Will Republicans win the Senate race in Arizona?,0.235,5547.0,2026-04-14T13:28:53.331050+00:00
2026-SEN-AZ,kalshi,Will Democratics win the Senate race in Arizona?,0.995,0.0,2026-04-14T13:28:53.331060+00:00
2026-SEN-AZ,kalshi,Will Republicans win the Senate race in Arizona?,0.005,0.0,2026-04-14T13:28:53.331067+00:00
2026-GOV-NJ,kalshi,Wil Ras Baraka be the Democratic nominee for Governor in New Jersey?,0.5,0.0,2026-04-14T13:28:53.761178+00:00
2026-GOV-NJ,kalshi,Wil Steven Fulop be the Democratic nominee for Governor in New Jersey?,0.5,0.0,2026-04-14T13:28:53.761238+00:00
2026-GOV-NJ,kalshi,Wil Sean Spiller be the Democratic nominee for Governor in New Jersey?,0.5,0.0,2026-04-14T13:28:53.761266+00:00
2026-GOV-NJ,kalshi,Wil Stephen Sweeney be the Democratic nominee for Governor in New Jersey?,0.5,0.0,2026-04-14T13:28:53.761289+00:00
2026-GOV-NJ,kalshi,Wil Josh Gottheimer be the Democratic nominee for Governor in New Jersey?,0.5,0.0,2026-04-14T13:28:53.761315+00:00
2026-GOV-NJ,kalshi,Wil Mikie Sherrill be the Democratic nominee for Governor in New Jersey?,0.5,0.0,2026-04-14T13:28:53.761338+00:00
2026-GOV-NJ,kalshi,Wil Shereef Einahal be the Democratic nominee for Governor in New Jersey?,0.5,0.0,2026-04-14T13:28:53.761364+00:00
