platform,market_id
kalshi,HOUSENY17-26-D
kalshi,HOUSEFL23-26-D
polymarket,37339804851958529477668640272202929685210557293494488892587593584631088241480
polymarket,51139697479054469944236132595348770797766976112763062697989474877845630491882
polymarket,59980150909931986777748227027020522224275707387562276219060223816867188565245
polymarket,92733851946032612831148041059231077892095455856580382370275967011579615033174
kalshi,HOUSEMI3-26-D
polymarket,34227383004193373038906204949041462485365502825604088115677762838860776270336
kalshi,SENATEME-26-D
polymarket,7589880081658059374445882095611024032084645048848237404312287942463647821549
polymarket,3466069051818884243073756614952529401222377791973010490050674378116587529746
kalshi,SENATEMT-26-D
kalshi,SENATEID-26-D
polymarket,106941193163110167696426338043140728938381127310653153528096347878604033727123
polymarket,88799262678230165893255813616837100962595819984760588859765042402182443138810
kalshi,HOUSEWA3-26-D
polymarket,62003269433640683744291727761785528693342099533191419822618434570267086928393
polymarket,63517706574758177502492185078056756527324898714284142778693046697324148388357
kalshi,SENATEVA-26-D
polymarket,103672405579571940023321290271521195736672061427193452636021280058761450574865
polymarket,55269299240433422758148290868724152324629587438760275683104577693660207425448
kalshi,SENATENE-26-D
kalshi,SENATETN-26-D
polymarket,109770398277480657132311708823042764648778271467537669934185093015733099277755
kalshi,KXTXPRIMARY-32R26-ACAR
kalshi,KXNJPRIMARY-12D26-SWAN
kalshi,KXLAPRIMARY-05R26-SWYA
kalshi,KXMT01D-26-MRAI
kalshi,KXNJPRIMARY-11D26-DCRE
kalshi,KXSENATETXR-26-WHUN
kalshi,KXKYPRIMARY-06R26-GPLU
kalshi,KXORPRIMARY-04D26-MBIR
kalshi,KXPA07D-26-COBA
kalshi,KXGOVORNOMR-26-DBET
kalshi,KXNJPRIMARY-12D26-AMAP
kalshi,KXGOVSDNOMR-26-JHAN
kalshi,KXNE2D-26-CRHO
kalshi,KXIAPRIMARY-02D26-CTWE
kalshi,KXNJPRIMARY-12D26-SROB
kalshi,KXGOVSDNOMR-26-LRHO
kalshi,KXPAPRIMARY-10D26-JDOU
kalshi,KXALPRIMARY-01R26-JMCK
kalshi,KXGAPRIMARY-01R26-BMON
kalshi,KXPA07D-26-LMCC
kalshi,KXGAPRIMARY-01R26-PFAR
kalshi,KXKYPRIMARY-06R26-AARQ
kalshi,KXNJPRIMARY-12D26-JVAI
kalshi,KXPAPRIMARY-01D26-LSIM
kalshi,KXKYPRIMARY-06R26-RDOT
kalshi,KXHOUSEUT02-26-D
polymarket,42200861349127624830531769887465625664332564761208067308674538299681162633408
kalshi,KXNJPRIMARY-12D26-BCOH
kalshi,KXIAPRIMARY-02D26-LJAM
kalshi,KXNY13D-26-OROM
kalshi,KXMTPRIMARY-01R26-AFLI
kalshi,KXGOVCONOMR-26-GLOP
polymarket,104941072583504560629541359146101856624224156924950836468214944609813975481146
kalshi,KXTXPRIMARY-35R26-JCOR
kalshi,KXSENATEMNR-26-TWEI
kalshi,KXMT01D-26-RCLE
kalshi,KXNJPRIMARY-12D26-VREY
kalshi,KXNE2D-26-DPOW
kalshi,KXGOVORNOMR-26-EDIE
polymarket,77352008423110658627347699838889268615833439467020119157874172753060554883993
kalshi,KXSENATEFLD-26-HMUJ
kalshi,KXGAPRIMARY-09R26-SCOU
kalshi,KXNJPRIMARY-12D26-SALT
kalshi,KXKYPRIMARY-06R26-RALV
kalshi,KXNJPRIMARY-08D26-MALI
kalshi,KXPA3D-26-ASTA
kalshi,KXTXPRIMARY-35R26-CCRU
polymarket,88239923472673146563077480128115321177745137131144370228840680238577232764410
kalshi,KXNJPRIMARY-08D26-RMEN
kalshi,KXTXPRIMARY-09R26-AMEA
kalshi,KXSENATECOD-26-JGON
kalshi,KXLAPRIMARY-05R26-MECH
kalshi,KXGOVORNOMR-26-CDRA
kalshi,KXPA07D-26-RCRO
kalshi,KXPA07D-26-BBRO
polymarket,86099369644392460048737844820619532397120082213977624019191882061699171550820
kalshi,KXMT01D-26-SFOR
kalshi,KXGOVMINOMR-26-PJ
kalshi,KXNE2D-26-JCAV
kalshi,KXTXPRIMARY-09R26-BCAI
kalshi,KXNY13D-26-AESP
kalshi,KXSENATEFLD-26-AVIN
kalshi,KXNJPRIMARY-11D26-AMEJ
polymarket,106508022466137478395505267074792640977169027657821102995174653260850467876591
kalshi,KXPAPRIMARY-10D26-JSTE
kalshi,KXGOVCONOMD-26-MBEN
kalshi,KXSENATEMNR-26-ASCH
kalshi,KXORPRIMARY-04D26-VHOY
kalshi,KXGOVSDNOMR-26-TDOE
kalshi,KXKXSENATEIAD-26-JTUR
polymarket,24328926445966432317786272609988117686395279530652835107145099744636420833401
kalshi,KXGOVORNOMR-26-CDUD
kalshi,KXPAPRIMARY-01D26-BHAR
kalshi,KXGAPRIMARY-09R26-GPOO
