race_id,incumbent_name,incumbent_party,bioguide_id,open_seat,open_reason
2026-H-AK-01,Nicholas J. Begich III,R,B001323,False,
2026-H-AL-01,Barry Moore,R,M001212,False,
2026-H-AL-02,Shomari Figures,D,F000481,False,
2026-H-AL-03,Mike Rogers,R,R000575,False,
2026-H-AL-04,Robert B. Aderholt,R,A000055,False,
2026-H-AL-05,Dale W. Strong,R,S001220,False,
2026-H-AL-06,Gary J. Palmer,R,P000609,False,
2026-H-AL-07,Terri A. Sewell,D,S001185,False,
2026-H-AR-01,"Eric A. ""Rick"" Crawford",R,C001087,False,
2026-H-AR-02,J. French Hill,R,H001072,False,
2026-H-AR-03,Steve Womack,R,W000809,False,
2026-H-AR-04,Bruce Westerman,R,W000821,False,
2026-H-AS-01,Aumua Amata Coleman Radewagen,R,R000600,False,
2026-H-AZ-01,David Schweikert,R,S001183,True,retiring
2026-H-AZ-02,Elijah Crane,R,C001132,False,
2026-H-AZ-03,Yassamin Ansari,D,A000381,False,
2026-H-AZ-04,Greg Stanton,D,S001211,False,
2026-H-AZ-05,Andy Biggs,R,B001302,True,retiring
2026-H-AZ-06,Juan Ciscomani,R,C001133,False,
2026-H-AZ-07,Adelita S. Grijalva,D,G000606,True,retiring
2026-H-AZ-08,Abraham J. Hamadeh,R,H001098,False,
2026-H-AZ-09,Paul A. Gosar,R,G000565,False,
2026-H-CA-02,Jared Huffman,D,H001068,False,
2026-H-CA-03,Kevin Kiley,I,K000401,False,
2026-H-CA-04,Mike Thompson,D,T000460,False,
2026-H-CA-05,Tom McClintock,R,M001177,False,
2026-H-CA-06,Ami Bera,D,B001287,False,
2026-H-CA-07,Doris O. Matsui,D,M001163,False,
2026-H-CA-08,John Garamendi,D,G000559,False,
2026-H-CA-09,Josh Harder,D,H001090,False,
2026-H-CA-10,Mark DeSaulnier,D,D000623,False,
2026-H-CA-11,Nancy Pelosi,D,P000197,True,retiring
2026-H-CA-12,Lateefah Simon,D,S001231,False,
2026-H-CA-13,Adam Gray,D,G000605,False,
2026-H-CA-15,Kevin Mullin,D,M001225,False,
2026-H-CA-16,Sam T. Liccardo,D,L000607,False,
2026-H-CA-17,Ro Khanna,D,K000389,False,
2026-H-CA-18,Zoe Lofgren,D,L000397,False,
2026-H-CA-19,Jimmy Panetta,D,P000613,False,
2026-H-CA-20,Vince Fong,R,F000480,False,
2026-H-CA-21,Jim Costa,D,C001059,False,
2026-H-CA-22,David G. Valadao,R,V000129,False,
2026-H-CA-23,Jay Obernolte,R,O000019,False,
2026-H-CA-24,Salud O. Carbajal,D,C001112,False,
2026-H-CA-25,Raul Ruiz,D,R000599,False,
2026-H-CA-26,Julia Brownley,D,B001285,True,retiring
2026-H-CA-27,George Whitesides,D,W000830,False,
2026-H-CA-28,Judy Chu,D,C001080,False,
2026-H-CA-29,Luz M. Rivas,D,R000620,False,
2026-H-CA-30,Laura Friedman,D,F000483,False,
2026-H-CA-31,"Gilbert Ray Cisneros, Jr.",D,C001123,False,
2026-H-CA-32,Brad Sherman,D,S000344,False,
2026-H-CA-33,Pete Aguilar,D,A000371,False,
2026-H-CA-34,Jimmy Gomez,D,G000585,False,
2026-H-CA-35,Norma J. Torres,D,T000474,False,
2026-H-CA-36,Ted Lieu,D,L000582,False,
2026-H-CA-37,Sydney Kamlager-Dove,D,K000400,False,
2026-H-CA-38,Linda T. Sánchez,D,S001156,False,
2026-H-CA-39,Mark Takano,D,T000472,False,
2026-H-CA-40,Young Kim,R,K000397,False,
2026-H-CA-41,Ken Calvert,R,C000059,False,
2026-H-CA-42,Robert Garcia,D,G000598,True,retiring
2026-H-CA-43,Maxine Waters,D,W000187,False,
2026-H-CA-44,Nanette Diaz Barragán,D,B001300,False,
2026-H-CA-45,Derek Tran,D,T000491,False,
2026-H-CA-46,J. Luis Correa,D,C001110,False,
2026-H-CA-47,Dave Min,D,M001241,False,
2026-H-CA-48,Darrell Issa,R,I000056,True,retiring
2026-H-CA-49,Mike Levin,D,L000593,False,
2026-H-CA-50,Scott H. Peters,D,P000608,False,
2026-H-CA-51,Sara Jacobs,D,J000305,False,
2026-H-CA-52,Juan Vargas,D,V000130,False,
2026-H-CO-01,Diana DeGette,D,D000197,False,
2026-H-CO-02,Joe Neguse,D,N000191,False,
2026-H-CO-03,Jeff Hurd,R,H001100,False,
2026-H-CO-04,Lauren Boebert,R,B000825,False,
2026-H-CO-05,Jeff Crank,R,C001137,False,
2026-H-CO-06,Jason Crow,D,C001121,False,
2026-H-CO-07,Brittany Pettersen,D,P000620,False,
2026-H-CO-08,Gabe Evans,R,E000300,False,
2026-H-CT-01,John B. Larson,D,L000557,False,
2026-H-CT-02,Joe Courtney,D,C001069,False,
2026-H-CT-03,Rosa L. DeLauro,D,D000216,False,
2026-H-CT-04,James A. Himes,D,H001047,False,
2026-H-CT-05,Jahana Hayes,D,H001081,False,
