race_id,source,market_title,implied_prob,weight,fetched_at,pollster,candidate,party,stage,sample_size,end_date,partisan,population,poll_id,question_id,url
2026-SEN-MI,nyt,GBAO — Mike Rogers,0.44,0.2286,2026-08-17T01:05:20.902640+00:00,GBAO,Mike Rogers,REP,general,800.0,8/10/26,DEM,lv,e517b345-e0c8-4715-b717-8e68b58495f6,5ae72580-b6be-4edb-8937-4fbe603ae73e,https://www.politico.com/f/?id=000001a0-05bf-d9b2-a7ac-ffbfa27c0000
2026-SEN-MI,nyt,GBAO — Abdul El-Sayed,0.5,0.2286,2026-08-17T01:05:20.902640+00:00,GBAO,Abdul El-Sayed,DEM,general,800.0,8/10/26,DEM,lv,e517b345-e0c8-4715-b717-8e68b58495f6,5ae72580-b6be-4edb-8937-4fbe603ae73e,https://www.politico.com/f/?id=000001a0-05bf-d9b2-a7ac-ffbfa27c0000
2026-SEN-ID,nyt,Peak Insights — Matt Loesby,0.02,0.1997,2026-08-17T01:05:20.902640+00:00,Peak Insights,Matt Loesby,LIB,general,500.0,8/13/26,REP,lv,abb4eb63-e7f7-4b77-a046-58a5bc930e16,035a7d83-dc19-4537-8426-b9c67b54ecf1,https://x.com/JacobRubashkin/status/2088415795764228191/photo/1
2026-SEN-ID,nyt,Peak Insights — Natalie Fleming,0.09,0.1997,2026-08-17T01:05:20.902640+00:00,Peak Insights,Natalie Fleming,IND,general,500.0,8/13/26,REP,lv,abb4eb63-e7f7-4b77-a046-58a5bc930e16,035a7d83-dc19-4537-8426-b9c67b54ecf1,https://x.com/JacobRubashkin/status/2088415795764228191/photo/1
2026-SEN-ID,nyt,Peak Insights — Todd Achilles,0.18,0.1997,2026-08-17T01:05:20.902640+00:00,Peak Insights,Todd Achilles,IND,general,500.0,8/13/26,REP,lv,abb4eb63-e7f7-4b77-a046-58a5bc930e16,035a7d83-dc19-4537-8426-b9c67b54ecf1,https://x.com/JacobRubashkin/status/2088415795764228191/photo/1
2026-SEN-ID,nyt,Peak Insights — James E. Risch,0.52,0.1997,2026-08-17T01:05:20.902640+00:00,Peak Insights,James E. Risch,REP,general,500.0,8/13/26,REP,lv,abb4eb63-e7f7-4b77-a046-58a5bc930e16,035a7d83-dc19-4537-8426-b9c67b54ecf1,https://x.com/JacobRubashkin/status/2088415795764228191/photo/1
2026-SEN-LA,nyt,Public Policy Polling — James Davis,0.37,0.0976,2026-08-17T01:05:20.902640+00:00,Public Policy Polling,James Davis,DEM,primary,518.0,7/22/26,DEM,rv,1be76207-bfa8-40f6-aa1f-b0a835f069ea,c8f1ad3c-55a1-477a-ac95-85a0fa9be383,https://bayouprogressive.com/2026/08/new-poll-puts-jamie-davis-four-points-behind-julia-letlow-as-1-in-5-voters-remain-undecided/
2026-SEN-LA,nyt,Public Policy Polling — Julia Letlow,0.41,0.0976,2026-08-17T01:05:20.902640+00:00,Public Policy Polling,Julia Letlow,REP,primary,518.0,7/22/26,DEM,rv,1be76207-bfa8-40f6-aa1f-b0a835f069ea,c8f1ad3c-55a1-477a-ac95-85a0fa9be383,https://bayouprogressive.com/2026/08/new-poll-puts-jamie-davis-four-points-behind-julia-letlow-as-1-in-5-voters-remain-undecided/
2026-SEN-OH-S,nyt,Wedgewood Polls — Jon Husted,0.44,0.5053,2026-08-17T01:05:20.902640+00:00,Wedgewood Polls,Jon Husted,REP,general,800.0,8/13/26,,lv,a20bab85-05b1-46ba-b421-20d3972cf4a6,69cf1cdd-d68c-4bd1-b825-f47fa6e63dc5,https://drive.google.com/file/d/1rP-26-yqNx9jy_gRqoLDmgJgzm5X8a4O/view
2026-SEN-OH-S,nyt,Wedgewood Polls — Sherrod Brown,0.48,0.5053,2026-08-17T01:05:20.902640+00:00,Wedgewood Polls,Sherrod Brown,DEM,general,800.0,8/13/26,,lv,a20bab85-05b1-46ba-b421-20d3972cf4a6,69cf1cdd-d68c-4bd1-b825-f47fa6e63dc5,https://drive.google.com/file/d/1rP-26-yqNx9jy_gRqoLDmgJgzm5X8a4O/view
